INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
16;14.12.2018 0:00:00;1;630000;33865
17;14.12.2018 0:00:00;1;630000;33682
18;14.12.2018 0:00:00;1;630000;33269
19;14.12.2018 0:00:00;1;630000;32697
20;14.12.2018 0:00:00;1;630000;31751
21;14.12.2018 0:00:00;1;630000;31118
22;14.12.2018 0:00:00;1;630000;30617
23;14.12.2018 0:00:00;1;630000;30742
0;15.12.2018 0:00:00;1;630000;30531
1;15.12.2018 0:00:00;1;630000;30478
2;15.12.2018 0:00:00;1;630000;30469
3;15.12.2018 0:00:00;1;630000;31418
4;15.12.2018 0:00:00;1;630000;31890
5;15.12.2018 0:00:00;1;630000;33148
6;15.12.2018 0:00:00;1;630000;33483
7;15.12.2018 0:00:00;1;630000;33842
8;15.12.2018 0:00:00;1;630000;33634
9;15.12.2018 0:00:00;1;630000;33152
10;15.12.2018 0:00:00;1;630000;33126
11;15.12.2018 0:00:00;1;630000;33213
12;15.12.2018 0:00:00;1;630000;33118
13;15.12.2018 0:00:00;1;630000;33765
14;15.12.2018 0:00:00;1;630000;34083
15;15.12.2018 0:00:00;1;630000;34007
16;15.12.2018 0:00:00;1;630000;33459
17;15.12.2018 0:00:00;1;630000;33573
18;15.12.2018 0:00:00;1;630000;32969
19;15.12.2018 0:00:00;1;630000;32172
20;15.12.2018 0:00:00;1;630000;31400
21;15.12.2018 0:00:00;1;630000;30673
22;15.12.2018 0:00:00;1;630000;30337
23;15.12.2018 0:00:00;1;630000;30387
0;16.12.2018 0:00:00;1;630000;30157
1;16.12.2018 0:00:00;1;630000;29910
2;16.12.2018 0:00:00;1;630000;30100
3;16.12.2018 0:00:00;1;630000;30504
4;16.12.2018 0:00:00;1;630000;30803
5;16.12.2018 0:00:00;1;630000;32087
6;16.12.2018 0:00:00;1;630000;32569
7;16.12.2018 0:00:00;1;630000;32951
8;16.12.2018 0:00:00;1;630000;33194
9;16.12.2018 0:00:00;1;630000;32979
10;16.12.2018 0:00:00;1;630000;33027
11;16.12.2018 0:00:00;1;630000;32996
12;16.12.2018 0:00:00;1;630000;32988
13;16.12.2018 0:00:00;1;630000;33992
14;16.12.2018 0:00:00;1;630000;34275
15;16.12.2018 0:00:00;1;630000;34027
16;16.12.2018 0:00:00;1;630000;34041
17;16.12.2018 0:00:00;1;630000;33836
18;16.12.2018 0:00:00;1;630000;33458
19;16.12.2018 0:00:00;1;630000;32585
20;16.12.2018 0:00:00;1;630000;31559
21;16.12.2018 0:00:00;1;630000;30838
22;16.12.2018 0:00:00;1;630000;30521
23;16.12.2018 0:00:00;1;630000;30532
0;17.12.2018 0:00:00;1;630000;30377
1;17.12.2018 0:00:00;1;630000;30400
2;17.12.2018 0:00:00;1;630000;31024
3;17.12.2018 0:00:00;1;630000;32399
4;17.12.2018 0:00:00;1;630000;33438
5;17.12.2018 0:00:00;1;630000;34462
6;17.12.2018 0:00:00;1;630000;34707
7;17.12.2018 0:00:00;1;630000;34606
8;17.12.2018 0:00:00;1;630000;34283
9;17.12.2018 0:00:00;1;630000;33832
10;17.12.2018 0:00:00;1;630000;34065
11;17.12.2018 0:00:00;1;630000;34066
12;17.12.2018 0:00:00;1;630000;34073
13;17.12.2018 0:00:00;1;630000;34469
14;17.12.2018 0:00:00;1;630000;34866
15;17.12.2018 0:00:00;1;630000;34631
16;17.12.2018 0:00:00;1;630000;34267
17;17.12.2018 0:00:00;1;630000;34143
18;17.12.2018 0:00:00;1;630000;33581
19;17.12.2018 0:00:00;1;630000;32697
20;17.12.2018 0:00:00;1;630000;31679
21;17.12.2018 0:00:00;1;630000;31135
22;17.12.2018 0:00:00;1;630000;30527
23;17.12.2018 0:00:00;1;630000;30510
0;18.12.2018 0:00:00;1;630000;30423
1;18.12.2018 0:00:00;1;630000;30487
2;18.12.2018 0:00:00;1;630000;31051
3;18.12.2018 0:00:00;1;630000;32335
4;18.12.2018 0:00:00;1;630000;33600
5;18.12.2018 0:00:00;1;630000;34750
6;18.12.2018 0:00:00;1;630000;34761
7;18.12.2018 0:00:00;1;630000;34477
8;18.12.2018 0:00:00;1;630000;34246
9;18.12.2018 0:00:00;1;630000;34062
10;18.12.2018 0:00:00;1;630000;33881
11;18.12.2018 0:00:00;1;630000;33708
12;18.12.2018 0:00:00;1;630000;34031
13;18.12.2018 0:00:00;1;630000;34287
